Name,Synonyme,YahooTicker
Adidas,"adidas, ads",ADS.DE
Airbus,"air, airbus",AIR.PA
Allianz,"allianz, alv",ALV.DE
BASF,"bas, basf",BAS.DE
Bayer,"bayer, bayn",BAYN.DE
Beiersdorf,"bei, beiersdorf",BEI.DE
BMW,bmw,BMW.DE
Brenntag,"bnr, brennt",BNR.DE
Commerzbank,"cbk, commerzbank",CBK.DE
Continental,"con, continental",CON.DE
Covestro,"1cov, covestro",1COV.DE
Daimler Truck,"daimler, dtg, truck",DTG.DE
Deutsche Bank,"bank, dbk, deutsche",DBK.DE
Deutsche Börse,"bör, db1, deutsche",DB1.DE
Deutsche Post,"deutsche, dhl, post",DHL.DE
Deutsche Telekom,"deutsche, dte, telekom",DTE.DE
E.ON,"e.on, eoan",EOAN.DE
Fresenius,"fre, frenius",FRE.DE
Fresenius Medical Care,"care, fme, frenius, medical",FME.DE
Hannover Re,"hannover, hnr1, re",HNR1.DE
Heidelberg Materials,"hei, heidelberg, materials",HEI.DE
Henkel,"hen3, henkel",HEN3.DE
Infineon Technologies,"ifx, infineon, technologies",IFX.DE
Mercedes-Benz Group,"group, mbg, mercedes-benz",MBG.DE
Merck,"merck, mrk",MRK.DE
MTU Aero Engines,"aero, engines, mtu, mtx",MTX.DE
Munich Re,"munich, muv2, re",MUV2.DE
Porsche,"p911, porsche",P911.DE
Porsche SE,"pah3, porsche",PAH3.DE
Qiagen,"qia, qien",QIA.DE
Rheinmetall,"rheinmetall, rhm",RHM.DE
RWE,rwe,RWE.DE
SAP,sap,SAP.DE
Sartorius,"sartorius, srt3",SRT3.DE
Siemens,"sie, siemens",SIE.DE
Siemens Energy,"energy, enr, siemens",ENR.DE
Siemens Healthineers,"healthineers, shl, siemens",SHL.DE
Symrise,"sy1, symri",SY1.DE
Volkswagen Group,"group, volkswen, vow3",VOW3.DE
Vonovia,"vna, vonovia",VNA.DE
Zalando,"zal, zalando",ZAL.DE
Adobe Inc.,"adbe, adobe",ADBE
Advanced Micro Devices,"advanced, amd, devices, micro",AMD
Airbnb,"abnb, airbnb",ABNB
Alphabet Inc. (Class A),"(class, a), alphabet, googl",GOOGL
Alphabet Inc. (Class C),"(class, alphabet, c), goog",GOOG
Amazon,"amazon, amzn",AMZN
American Electric Power,"aep, american, electric, power",AEP
Amgen,"amgen, amgn",AMGN
Analog Devices,"adi, analog, devices",ADI
Ansys,"anss, ansys",ANSS
Apple Inc.,"aapl, apple",AAPL
Applied Materials,"amat, applied, materials",AMAT
AppLovin,"app, applovin",APP
Arm Holdings,"arm, holdings",ARM
ASML Holding,"asml, holding",ASML
AstraZeneca,"astrazeneca, azn",AZN
Atlassian,"atlassian, team",TEAM
Autodesk,"adsk, autodesk",ADSK
Automatic Data Processing,"adp, automatic, data, processing",ADP
Axon Enterprise,"axon, enterpri",AXON
Baker Hughes,"baker, bkr, hughes",BKR
Biogen,"biib, biogen",BIIB
Booking Holdings,"bkng, booking, holdings",BKNG
Broadcom,"avgo, broadcom",AVGO
Cadence Design Systems,"cadence, cdns, design, systems",CDNS
CDW Corporation,"cdw, corporation",CDW
Charter Communications,"charter, chtr, communications",CHTR
Cintas,"cintas, ctas",CTAS
Cisco,"cisco, csco",CSCO
Coca-Cola Europacific Partners,"ccep, coca-cola, europacific, partners",CCEP
Cognizant,"cognizant, ctsh",CTSH
Comcast,"cmcsa, comcast",CMCSA
Constellation Energy,"ceg, constellation, energy",CEG
Copart,"copart, cprt",CPRT
CoStar Group,"costar, csgp, group",CSGP
Costco,"cost, costco",COST
CrowdStrike,"crowdstrike, crwd",CRWD
CSX Corporation,"corporation, csx",CSX
Datadog,"datadog, ddog",DDOG
DexCom,"dexcom, dxcm",DXCM
Diamondback Energy,"diamondback, energy, fang",FANG
DoorDash,"dash, doordash",DASH
Electronic Arts,"arts, ea, electronic",EA
Exelon,"exc, exelon",EXC
Fastenal,"fast, fastenal",FAST
Fortinet,"fortinet, ftnt",FTNT
GE HealthCare,"ge, gehc, healthcare",GEHC
Gilead Sciences,"gild, gilead, sciences",GILD
GlobalFoundries,"gfs, globalfoundries",GFS
Honeywell,"hon, honeywell",HON
Idexx Laboratories,"idexx, idxx, laboratories",IDXX
Intel,"intc, intel",INTC
Intuit,"intu, intuit",INTU
Intuitive Surgical,"intuitive, isrg, surgical",ISRG
Keurig Dr Pepper,"dr, kdp, keurig, pepper",KDP
KLA Corporation,"corporation, kla, klac",KLAC
Kraft Heinz,"heinz, khc, kraft",KHC
Lam Research,"lam, lrcx, rearch",LRCX
Linde plc,"lin, linde, plc",LIN
Lululemon,"lulu, lululemon",LULU
Marriott International,"international, mar, marriott",MAR
Marvell Technology,"marvell, mrvl, technology",MRVL
Mercado Libre,"libre, meli, mercado",MELI
Meta Platforms,"meta, platforms",META
Microchip Technology,"mchp, microchip, technology",MCHP
Micron Technology,"micron, mu, technology",MU
Microsoft,"microsoft, msft",MSFT
MicroStrategy,"microstrategy, mstr",MSTR
Mondelez International,"international, mdlz, mondelez",MDLZ
Monster Beverage,"bevere, mnst, monster",MNST
"Netflix, Inc.","netflix,, nflx",NFLX
Nvidia,"nvda, nvidia",NVDA
NXP Semiconductors,"miconductors, nxp, nxpi",NXPI
O'Reilly Automotive,"automotive, o'reilly, orly",ORLY
Old Dominion Freight Line,"dominion, freight, line, odfl, old",ODFL
Onsemi,"on, onmi",ON
Paccar,"paccar, pcar",PCAR
Palantir Technologies,"palantir, pltr, technologies",PLTR
Palo Alto Networks,"alto, networks, palo, panw",PANW
Paychex,"paychex, payx",PAYX
PayPal,"paypal, pypl",PYPL
PDD Holdings,"holdings, pdd",PDD
PepsiCo,"pep, pepsico",PEP
Qualcomm,"qcom, qualcomm",QCOM
Regeneron Pharmaceuticals,"pharmaceuticals, regeneron, regn",REGN
Roper Technologies,"rop, roper, technologies",ROP
Ross Stores,"ross, rost, stores",ROST
Shopify,"shop, shopify",SHOP
Starbucks,"sbux, starbucks",SBUX
Synopsys,"snps, synopsys",SNPS
Take-Two Interactive,"interactive, take-two, ttwo",TTWO
T-Mobile US,"t-mobile, tmus, us",TMUS
"Tesla, Inc.","tesla,, tsla",TSLA
Texas Instruments,"instruments, texas, txn",TXN
Trade Desk (The),"(the), desk, trade, ttd",TTD
Verisk Analytics,"analytics, verisk, vrsk",VRSK
Vertex Pharmaceuticals,"pharmaceuticals, vertex, vrtx",VRTX
Warner Bros. Discovery,"bros., discovery, warner, wbd",WBD
"Workday, Inc.","wday, workday,",WDAY
Xcel Energy,"energy, xcel, xel",XEL
Zscaler,"zs, zscaler",ZS
3M,"3m, mmm",MMM
A. O. Smith,"a., aos, o., smith",AOS
Abbott Laboratories,"abbott, abt, laboratories",ABT
